Start-Date(YYYY/MM/DD),End-Date(YYYY/MM/DD),Measurement-Duration(minutes),Detector-Number,Sensitivity(b/mrem)*,Bubble Count,Calculated-Exposure(mrem),Name
2009-09-06,2009-09-13,9872,A92 (1415),0.86,107,124,ROBERT THIRSK
2009-10-03,2009-10-10,10793,A92 (1415),0.86,141,164,ROBERT THIRSK
2009-11-09,2019-11-16,10069,A92 (1415),0.86,65,76,ROBERT THIRSK
2012-12-27,2013-01-03,9123,A92 (1415),0.94,130,138,CHRIS HADFIELD
2013-01-18,2013-01-25,10199,A92 (1415),0.94,118,126,CHRIS HADFIELD
2013-02-11,2013-02-18,9793,A92 (1415),0.94,140,148,CHRIS HADFIELD
2013-03-05,2013-03-12,10106,A92 (1415),0.94,114,121,CHRIS HADFIELD
2019-01-15,2019-01-22,10063,A17 (2010),0.64,98,153,DAVID SAINT-JACQUES 
2019-01-15,2019-01-22,10063,A18 (2113),0.8,121,151,DAVID SAINT-JACQUES 
2019-02-19,2019-02-26,10270,A18 (2113),0.8,113,141,DAVID SAINT-JACQUES 
2019-03-19,2019-03-26,10092,A18 (2113),0.8,102,127,DAVID SAINT-JACQUES 
